id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
661,FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC,83891283,SANTA CATARINA,,0.10435089202821368,True,False
694,TRIBUNAL DE JUSTICA,01355600,SANTA CATARINA,,0.10435089202821368,True,False
1003,FUNDACAO NACIONAL DE SAUDE,26989350,SANTA CATARINA,,0.10435089202821368,True,False
906,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,00394494,SANTA CATARINA,,0.10435089202821368,True,False
852,EMPRESA CATARINENSE DE TRANSPORTES E TERMINAIS SA,75352302,SANTA CATARINA,,0.10435089202821368,True,False
880,CODEJAS - COMPANHIA DE DESENVOLVIMENTO DE JARAGUA DO SUL S.A,00513208,SANTA CATARINA,,0.10435089202821368,True,False
836,FUNDO PARA RECONSTITUICAO DOS BENS LESADOS,23784944,SANTA CATARINA,,0.10435089202821368,True,False
732,CARTORIO DO JUIZADO ESPECIAL CIVEL DA COMARCA DE BALNEARIO CAMBORIU - SC,04920078,SANTA CATARINA,,0.10435089202821368,True,False
783,FUNDO ESTADUAL DE INCENTIVO AO TURISMO,07735627,SANTA CATARINA,,0.10435089202821368,True,False
932,CONSELHO MUNICIPAL DE DESENVOLVIMENTO RURAL DE RODEIO,03103849,SANTA CATARINA,,0.10435089202821368,True,False
