id;razao_social;cnpj_8;municipio;codigo_ibge;natureza_juridica;causa_raiz;investigado_em;observacoes
2059;SECRETARIA MUNICIPAL DE EDUCACAO DE SAO BONIFACIO;30976548;SAO BONIFACIO;4215901;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO BONIFACIO sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 30976548"
1533;CONSORCIO HABITACIONAL DO OESTE CATARINENSE;66350792;SAO CARLOS;4216008;Consórcio Público de Direito Público (Associação Pública);sem_dados_publicos;2026-07-11;"Entidade 'Consórcio Público de Direito Público (Associação Pública)' em SAO CARLOS sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 66350792"
1506;SECRETARIA MUNICIPAL DE EDUCACAO;61410961;SAO CARLOS;4216008;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO CARLOS sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 61410961"
1917;CAMARA DE VEREADORES DE SAO CRISTOVAO DO SUL;09087219;SAO CRISTOVAO DO SUL;4216057;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 09087219"
1851;INSTITUTO DE PREVIDENCIA MUNICIPAL DE SAO CRISTOVAO DO SUL;05026870;SAO CRISTOVAO DO SUL;4216057;Autarquia Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Municipal' em SAO CRISTOVAO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 05026870"
1516;SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E DESPORTO DE SAO CRISTOVAO DO SUL;62362318;SAO CRISTOVAO DO SUL;4216057;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO CRISTOVAO DO SUL sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 62362318"
1724;CAMARA MUNICIPAL DE VEREADORES DE SAO DOMINGOS;00442100;SAO DOMINGOS;4216107;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 00442100"
1490;SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA - SEC;59940766;SAO DOMINGOS;4216107;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO DOMINGOS sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 59940766"
1565;FUNDACAO CULTURAL ILHA DE SAO FRANCISCO DO SUL;79356713;SAO FRANCISCO DO SUL;4216206;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SAO FRANCISCO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 79356713"
2000;FUNDACAO INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES DE SAO FRANCISCO DO SUL - IPRESF;23017093;SAO FRANCISCO DO SUL;4216206;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SAO FRANCISCO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 23017093"
1726;INSTITUTO DE DEFESA DA CID E DOS DIREITS H DE S FS;00499546;SAO FRANCISCO DO SUL;4216206;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SAO FRANCISCO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 00499546"
1544;CAMARA MUNICIPAL DE VEREADORES DE SAO JOAO BATISTA;76357227;SAO JOAO BATISTA;4216305;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 76357227"
1999;FUNDACAO MUNICIPAL DE CULTURA E JUVENTUDE SE SAO JOAO BATISTA - FUNJUVE;22410117;SAO JOAO BATISTA;4216305;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SAO JOAO BATISTA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 22410117"
2058;FUNDACAO MUNICIPAL DE MEIO AMBIENTE DE SAO JOAO BATISTA;30969916;SAO JOAO BATISTA;4216305;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SAO JOAO BATISTA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 30969916"
1584;HOSPITAL MUNICIPAL MONSENHOR JOSE LOCKS;81286668;SAO JOAO BATISTA;4216305;Autarquia Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Municipal' em SAO JOAO BATISTA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 81286668"
1838;INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE SAO JOAO BATISTA - IPRESJB;04545243;SAO JOAO BATISTA;4216305;Autarquia Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Municipal' em SAO JOAO BATISTA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 04545243"
1517;SECRETARIA MUNICIPAL DE EDUCACAO;62451840;SAO JOAO BATISTA;4216305;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO JOAO BATISTA sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 62451840"
