entity_id,razao_social,cnpj_8,municipio,gap_reason
1334,CAMARA MUNICIPAL DE VEREADORES DE BOM JESUS,07779870,BOM JESUS,no_contract_for_org_cnpj_prefix
1332,MUNICIPIO DE BOM JESUS,01551148,BOM JESUS,no_contract_for_org_cnpj_prefix
1331,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTES E LAZER",60004129,BOM JESUS,no_contract_for_org_cnpj_prefix
1417,CAMARA MUNICIPAL DE VEREADORES DE BOM JESUS DO OESTE,17357220,BOM JESUS DO OESTE,no_contract_for_org_cnpj_prefix
1418,SECRETARIA MUNICIPAL DE EDUCACAO CULTURA E ESPORTES DE BOM JESUS DO OESTE SC,30606430,BOM JESUS DO OESTE,no_contract_for_org_cnpj_prefix
207,CAMARA MUNICIPAL DE VEREADORES DE BOM RETIRO,01794690,BOM RETIRO,no_contract_for_org_cnpj_prefix
208,FUNDACAO CULTURAL DE BOM RETIRO - FCBR,24341403,BOM RETIRO,no_contract_for_org_cnpj_prefix
1946,CAMARA MUNICIPAL DE VEREADORES DE BOTUVERA,12935074,BOTUVERA,no_contract_for_org_cnpj_prefix
1960,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC DO MUNICPIO DE BOTUVERA,14950725,BOTUVERA,no_contract_for_org_cnpj_prefix
2034,SECRETARIA DE EDUCACAO DE BOTUVERA SC,30687259,BOTUVERA,no_contract_for_org_cnpj_prefix
1661,CAMARA MUNICIPAL DE BRACO DO NORTE,83457259,BRACO DO NORTE,no_contract_for_org_cnpj_prefix
1874,CONSORCIO INTERMUNICIPAL DE ABRIGO PARA CRIANCA E ADOLECENTE - CIACA,06081945,BRACO DO NORTE,no_contract_for_org_cnpj_prefix
2060,DEPARTAMENTO DE EDUCACAO DE BRACO DO NORTE SC,31002209,BRACO DO NORTE,no_contract_for_org_cnpj_prefix
1963,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE BRACO DO NORTE,15199388,BRACO DO NORTE,no_contract_for_org_cnpj_prefix
1703,CAMARA MUNICIPAL DE VEREADORES,95952255,BRACO DO TROMBUDO,no_contract_for_org_cnpj_prefix
1964,COORDENADORIA MUNICIPAL DE DEFESA CIVIL (COMDEC) DE BRACO DO TROMBUDO,15268603,BRACO DO TROMBUDO,no_contract_for_org_cnpj_prefix
1531,SECRETARIA MUNICIPAL DE EDUCACAO DE BRACO DO TROMBUDO,66118584,BRACO DO TROMBUDO,no_contract_for_org_cnpj_prefix
1758,CAMARA MUNICIPAL DE VEREADORES DE BRUNOPOLIS,01635079,BRUNOPOLIS,no_contract_for_org_cnpj_prefix
2018,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, DESPORTO E TURISMO.",30069008,BRUNOPOLIS,no_contract_for_org_cnpj_prefix
89,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,05623609,BRUSQUE,no_contract_for_org_cnpj_prefix
85,COMISSAO CENTRAL ORGANIZADORA 40 JASC,03594895,BRUSQUE,no_contract_for_org_cnpj_prefix
94,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,75294264,BRUSQUE,no_contract_for_org_cnpj_prefix
