ibge_code,cnpj,name,canonical_name,entity_type,municipio,uf,lat,lon,distance_km,zone,sources
4200903,30774373,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,secretaria_municipal,ANGELINA,SC,-27.5704,-48.9879,43.4,DENTRO,seed:R-0
4210209,64490497,SECRETARIA MUNICIPAL DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO,secretaria_municipal,MAJOR GERCINO,SC,-27.4192,-48.9488,44.1,DENTRO,seed:R-0
4210209,82845744,MUNICIPIO DE MAJOR GERCINO,MUNICIPIO DE MAJOR GERCINO,prefeitura,MAJOR GERCINO,SC,-27.4192,-48.9488,44.1,DENTRO,seed:R-0
4210209,03269022,CAMARA MUNICIPAL DE VEREADORES DE MAJOR GERCINO,CAMARA MUNICIPAL DE VEREADORES DE MAJOR GERCINO,camara_municipal,MAJOR GERCINO,SC,-27.4192,-48.9488,44.1,DENTRO,seed:R-0
4214300,64434850,"SECRETARIA DE EDUCACAO, CULTURA E DESPORTO DE RANCHO QUEIMADO","SECRETARIA DE EDUCACAO, CULTURA E DESPORTO DE RANCHO QUEIMADO",secretaria_municipal,RANCHO QUEIMADO,SC,-27.6727,-49.0191,47.2,DENTRO,seed:R-0
4214300,82892357,MUNICIPIO DE RANCHO QUEIMADO,MUNICIPIO DE RANCHO QUEIMADO,prefeitura,RANCHO QUEIMADO,SC,-27.6727,-49.0191,47.2,DENTRO,seed:R-0
4214300,03793235,INSTITUTO PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DE RANCHO QUEIMADO,INSTITUTO PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DE RANCHO QUEIMADO,autarquia_municipal,RANCHO QUEIMADO,SC,-27.6727,-49.0191,47.2,DENTRO,seed:R-0
4214300,10933303,CAMARA MUNICIPAL DE RANCHO QUEIMADO,CAMARA MUNICIPAL DE RANCHO QUEIMADO,camara_municipal,RANCHO QUEIMADO,SC,-27.6727,-49.0191,47.2,DENTRO,seed:R-0
4213500,63641306,SECRETARIA MUNICIPAL DE EDUCACAO DE PORTO BELO,SECRETARIA MUNICIPAL DE EDUCACAO DE PORTO BELO,secretaria_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,63874924,GUARDA MUNICIPAL DE PORTO BELO,GUARDA MUNICIPAL DE PORTO BELO,secretaria_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,64372423,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO - SAMAE,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO - SAMAE,autarquia_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,82575812,MUNICIPIO DE PORTO BELO,MUNICIPIO DE PORTO BELO,prefeitura,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,04984856,CAMARA MUNICIPAL DE VEREADORES DE PORTO BELO,CAMARA MUNICIPAL DE VEREADORES DE PORTO BELO,camara_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,09267291,CONSORCIO INTERMUNICIPAL DE TURISMO COSTA VERDE E MAR,CONSORCIO INTERMUNICIPAL DE TURISMO COSTA VERDE E MAR,consorcio_publico,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,09618159,FUNDACAO MUNICIPAL DE ESPORTES DE PORTO BELO,FUNDACAO MUNICIPAL DE ESPORTES DE PORTO BELO,fundacao_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,10556980,FUNDACAO MUNICIPAL DA CULTURA DE PORTO BELO,FUNDACAO MUNICIPAL DA CULTURA DE PORTO BELO,fundacao_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
